BUYER_ID,frequency,recency,profit
21466,9,574,21
21467,1,575,7
21468,1,575,4
21471,1,575,14
21472,10,372,21
21474,1,122,1
21475,3,575,3
21476,1,575,5
21478,2,574,8
21479,1,574,1
21481,2,404,3
21482,1,575,3
21483,1,575,5
21484,1,575,4
21485,1,575,1
21486,1,575,3
21489,1,575,4
21490,1,575,5
21491,1,575,4
21492,1,575,4
21493,1,575,11
21495,1,575,1
21496,1,575,4
21497,1,575,2
21499,1,575,3
21500,1,575,2
21501,4,545,17
21503,1,575,1
21504,1,575,6
21505,1,575,2
21506,1,575,3
21508,3,550,3
21510,2,570,2
21511,1,575,2
21512,1,575,4
21513,1,575,2
21515,1,575,3
21516,1,573,1
21518,2,122,7
21519,1,575,6
21520,2,544,2
21521,1,575,3
21522,3,575,10
21524,2,574,14
21525,1,574,2
21526,1,574,4
21527,1,575,1
21529,1,575,6
21530,1,575,5
21531,1,575,2
21533,1,575,3
21534,1,574,1
21535,2,575,10
21536,4,575,13
21537,1,573,1
21538,3,546,14
21540,1,575,7
21541,1,575,2
21542,1,575,3
21544,1,575,7
21545,1,573,3
21546,1,575,3
21547,1,575,2
21549,1,575,1
21553,9,109,43
21555,1,575,1
21556,1,575,1
21558,2,546,7
21559,1,575,2
21561,1,575,6
21563,1,575,1
21565,6,374,30
21566,2,575,8
21567,4,326,41
21568,5,574,21
21569,1,575,4
21571,1,575,7
21573,18,137,51
21574,2,465,2
21577,1,575,10
21578,1,575,4
21579,1,575,7
21581,2,537,13
21583,1,575,8
21585,1,575,4
21589,1,574,1
21590,2,574,10
21592,9,479,46
21593,4,547,10
21594,3,550,33
21595,2,538,3
21596,1,574,5
21597,2,538,8
21598,1,574,9
21599,1,574,2
21601,1,574,4
21602,4,573,14
21603,2,574,15
21604,6,374,20
21605,3,573,4
21607,7,374,22
21608,2,573,12
21612,1,574,1
21614,1,574,10
21615,1,574,1
21617,1,574,5
21619,1,574,1
21620,1,574,2
21621,6,513,77
21625,1,574,2
21626,1,574,8
21629,3,568,13
21630,1,574,9
21632,2,574,8
21633,1,574,7
21635,2,541,9
21636,1,574,1
21637,2,574,8
21638,1,574,3
21639,1,574,3
21641,2,573,4
21642,1,574,1
21645,4,547,7
21646,2,571,5
21648,1,574,2
21649,1,574,1
21650,1,574,1
21652,1,574,2
21653,1,574,5
21657,1,574,2
21658,1,574,8
21659,1,574,5
21660,2,567,5
21662,2,568,3
21665,3,574,6
21666,1,574,3
21667,2,574,18
21672,1,574,4
21673,2,574,2
21674,1,574,1
21676,1,574,3
21679,2,542,3
21681,1,574,5
21682,1,574,4
21683,1,574,6
21684,2,574,4
21686,1,574,5
21687,1,574,8
21689,1,574,5
21690,2,574,9
21691,2,568,5
21692,2,573,8
21693,1,574,1
21695,1,574,6
21696,1,574,3
21698,1,574,1
21699,1,574,1
21700,1,573,3
21702,4,51,11
21704,1,574,7
21705,2,573,6
21706,1,574,4
21707,1,574,2
21708,1,574,1
21710,2,404,5
21711,1,574,5
21712,1,574,9
21713,8,99,40
21714,3,325,9
21715,1,574,10
21716,3,568,9
21718,2,573,4
21719,1,574,9
21720,1,574,2
21723,27,535,37
21724,1,574,2
21725,1,573,3
21726,1,574,8
21727,1,574,1
21728,1,574,4
21729,1,574,3
21730,1,574,4
21731,1,573,2
21732,1,574,2
21733,1,574,10
21737,2,259,10
21741,1,574,2
21743,1,574,2
21745,1,574,7
21748,1,574,4
21751,1,573,6
21754,4,473,20
21757,1,573,6
21759,1,573,1
